integer value	ROI intensity	reference intensity
4000.000000	29999.000000	  0.000000
4025.000000	29149.000000	  0.000000
4050.000000	28874.000000	  0.003646
4075.000000	27998.000000	  0.003811
4100.000000	26838.000000	  0.003811
4125.000000	26417.000000	  0.003811
4150.000000	25616.000000	  0.003646
4175.000000	24277.000000	  0.003646
4200.000000	23698.000000	  0.003977
4225.000000	22508.000000	  0.003977
4250.000000	21711.000000	  0.003977
4275.000000	21660.000000	  0.003646
4300.000000	20354.000000	  0.003646
4325.000000	19828.000000	  0.003811
4350.000000	18873.000000	  0.003811
4375.000000	18640.000000	  0.003811
4400.000000	17697.000000	  0.003646
4425.000000	17898.000000	  0.003811
4450.000000	17151.000000	  0.003646
4475.000000	16854.000000	  0.003977
4500.000000	16339.000000	  0.003977
4525.000000	16179.000000	  0.003811
4550.000000	15989.000000	  0.003646
4575.000000	15159.000000	  0.003811
4600.000000	15648.000000	  0.003811
4625.000000	15173.000000	  0.003977
4650.000000	15315.000000	  0.003811
4675.000000	14971.000000	  0.003811
4700.000000	14735.000000	  0.003811
4725.000000	14950.000000	  0.003977
4750.000000	15178.000000	  0.003811
4775.000000	15032.000000	  0.003977
4800.000000	14767.000000	  0.003977
4825.000000	15029.000000	  0.003811
4850.000000	14722.000000	  0.003646
4875.000000	14902.000000	  0.003646
4900.000000	15358.000000	  0.003811
4925.000000	15642.000000	  0.003977
4950.000000	16077.000000	  0.003811
4975.000000	16403.000000	  0.003811
5000.000000	16677.000000	  0.003646
5025.000000	17345.000000	  0.003646
5050.000000	17534.000000	  0.003646
5075.000000	18257.000000	  0.003811
5100.000000	19016.000000	  0.003977
5125.000000	19401.000000	  0.003811
5150.000000	20146.000000	  0.003646
5175.000000	20913.000000	  0.003811
5200.000000	21801.000000	  0.003646
5225.000000	21725.000000	  0.003977
5250.000000	22677.000000	  0.003811
5275.000000	23365.000000	  0.003977
5300.000000	24135.000000	  0.003811
5325.000000	26101.000000	  0.003811
5350.000000	26826.000000	  0.003811
5375.000000	28191.000000	  0.003977
5400.000000	29985.000000	  0.003811
5425.000000	30505.000000	  0.003811
5450.000000	32209.000000	  0.003811
5475.000000	34176.000000	  0.003646
5500.000000	34841.000000	  0.003811
5525.000000	36455.000000	  0.003811
5550.000000	39161.000000	  0.003977
5575.000000	41028.000000	  0.003977
5600.000000	42228.000000	  0.003811
5625.000000	42174.000000	  0.003977
5650.000000	44386.000000	  0.003977
5675.000000	46260.000000	  0.003811
5700.000000	47187.000000	  0.003811
5725.000000	45941.000000	  0.003646
5750.000000	48480.000000	  0.003811
5775.000000	45541.000000	  0.003811
5800.000000	46289.000000	  0.003977
5825.000000	48100.000000	  0.003977
5850.000000	47122.000000	  0.003811
5875.000000	47410.000000	  0.003977
5900.000000	46990.000000	  0.003646
5925.000000	46297.000000	  0.003977
5950.000000	47376.000000	  0.003977
5975.000000	46302.000000	  0.003977
6000.000000	45470.000000	  0.003811
6025.000000	46129.000000	  0.003811
6050.000000	46738.000000	  0.003977
6075.000000	48429.000000	  0.003977
6100.000000	50444.000000	  0.003811
6125.000000	49634.000000	  0.003646
6150.000000	51406.000000	  0.003811
6175.000000	51422.000000	  0.003977
6200.000000	52291.000000	  0.003977
6225.000000	55394.000000	  0.003977
6250.000000	59991.000000	  0.003811
6275.000000	61158.000000	  0.003811
6300.000000	61496.000000	  0.003977
6325.000000	65159.000000	  0.003811
6350.000000	67529.000000	  0.003811
6375.000000	68134.000000	  0.003811
6400.000000	69268.000000	  0.003646
6425.000000	71944.000000	  0.003646
6450.000000	70586.000000	  0.003977
6475.000000	73351.000000	  0.003811
6500.000000	76225.000000	  0.003811
6525.000000	76816.000000	  0.003646
6550.000000	73716.000000	  0.003977
6575.000000	74615.000000	  0.003811
6600.000000	74527.000000	  0.003646
6625.000000	72543.000000	  0.003646
6650.000000	73230.000000	  0.003811
6675.000000	71733.000000	  0.003646
6700.000000	70259.000000	  0.003811
6725.000000	69405.000000	  0.003811
6750.000000	69378.000000	  0.003646
6775.000000	69300.000000	  0.003646
6800.000000	67603.000000	  0.003811
6825.000000	68276.000000	  0.003811
6850.000000	66114.000000	  0.003811
6875.000000	65898.000000	  0.003811
6900.000000	65300.000000	  0.003977
6925.000000	67499.000000	  0.003646
6950.000000	68004.000000	  0.003977
6975.000000	68205.000000	  0.003977
7000.000000	68552.000000	  0.003811
7025.000000	70906.000000	  0.003811
7050.000000	71720.000000	  0.003646
7075.000000	74156.000000	  0.003977
7100.000000	73288.000000	  0.003811
7125.000000	77263.000000	  0.003811
7150.000000	78629.000000	  0.003811
7175.000000	80139.000000	  0.003811
7200.000000	79413.000000	  0.003811
7225.000000	81042.000000	  0.003811
7250.000000	81403.000000	  0.003811
7275.000000	81095.000000	  0.003811
7300.000000	79567.000000	  0.003646
7325.000000	79761.000000	  0.003646
7350.000000	79991.000000	  0.003977
7375.000000	78870.000000	  0.003811
7400.000000	78571.000000	  0.003977
7425.000000	77937.000000	  0.003646
7450.000000	73515.000000	  0.003977
7475.000000	72817.000000	  0.003811
7500.000000	69966.000000	  0.003811
7525.000000	69792.000000	  0.003646
7550.000000	69185.000000	  0.003811
7575.000000	70138.000000	  0.003811
7600.000000	68854.000000	  0.003646
7625.000000	68625.000000	  0.003646
7650.000000	69320.000000	  0.003811
7675.000000	68724.000000	  0.003646
7700.000000	70449.000000	  0.003977
7725.000000	70440.000000	  0.003646
7750.000000	72109.000000	  0.003811
7775.000000	74070.000000	  0.003811
7800.000000	75124.000000	  0.003811
7825.000000	77303.000000	  0.003646
7850.000000	78379.000000	  0.003977
7875.000000	79883.000000	  0.003811
7900.000000	81301.000000	  0.003977
7925.000000	82009.000000	  0.003646
7950.000000	81704.000000	  0.003977
7975.000000	82160.000000	  0.003646
8000.000000	82391.000000	  0.003977
8025.000000	82384.000000	  0.003646
8050.000000	82397.000000	  0.003811
8075.000000	82189.000000	  0.003811
8100.000000	82174.000000	  0.003811
8125.000000	81996.000000	  0.003977
8150.000000	81559.000000	  0.003811
8175.000000	80882.000000	  0.003811
8200.000000	79774.000000	  0.003646
8225.000000	79205.000000	  0.003811
8250.000000	76586.000000	  0.003811
8275.000000	74244.000000	  0.003811
8300.000000	72437.000000	  0.003811
8325.000000	73280.000000	  0.003811
8350.000000	74289.000000	  0.003977
8375.000000	72207.000000	  0.003646
8400.000000	72574.000000	  0.003811
8425.000000	72364.000000	  0.003811
8450.000000	74617.000000	  0.003811
8475.000000	74274.000000	  0.003811
8500.000000	74402.000000	  0.003811
8525.000000	74733.000000	  0.003646
8550.000000	75328.000000	  0.003811
8575.000000	78354.000000	  0.003977
8600.000000	79874.000000	  0.003811
8625.000000	80681.000000	  0.003811
8650.000000	81211.000000	  0.003811
8675.000000	81388.000000	  0.003811
8700.000000	81646.000000	  0.003811
8725.000000	81722.000000	  0.003977
8750.000000	81855.000000	  0.003646
8775.000000	81324.000000	  0.003646
8800.000000	79880.000000	  0.003646
8825.000000	79976.000000	  0.003977
8850.000000	79296.000000	  0.003977
8875.000000	73809.000000	  0.003811
8900.000000	72882.000000	  0.003977
8925.000000	71380.000000	  0.003646
8950.000000	69365.000000	  0.003811
8975.000000	64724.000000	  0.003811
9000.000000	63152.000000	  0.003811
9025.000000	60968.000000	  0.003811
9050.000000	60272.000000	  0.003977
9075.000000	59185.000000	  0.003811
9100.000000	58457.000000	  0.003811
9125.000000	56872.000000	  0.003646
9150.000000	57616.000000	  0.003977
9175.000000	56478.000000	  0.003811
9200.000000	57580.000000	  0.003646
