integer value	ROI intensity	reference intensity
4000.000000	15378.000000	  0.003811
4025.000000	16162.000000	  0.003977
4050.000000	15951.000000	  0.003646
4075.000000	15971.000000	  0.003977
4100.000000	15529.000000	  0.003977
4125.000000	15318.000000	  0.003977
4150.000000	15610.000000	  0.004143
4175.000000	15677.000000	  0.003811
4200.000000	15013.000000	  0.004143
4225.000000	15369.000000	  0.003811
4250.000000	14537.000000	  0.003811
4275.000000	14520.000000	  0.003977
4300.000000	14221.000000	  0.003811
4325.000000	14269.000000	  0.004143
4350.000000	14448.000000	  0.003646
4375.000000	13889.000000	  0.003977
4400.000000	13485.000000	  0.003977
4425.000000	13588.000000	  0.003977
4450.000000	13301.000000	  0.003811
4475.000000	13041.000000	  0.003811
4500.000000	13026.000000	  0.003646
4525.000000	12931.000000	  0.003977
4550.000000	12913.000000	  0.003811
4575.000000	13089.000000	  0.003977
4600.000000	13167.000000	  0.003811
4625.000000	12624.000000	  0.003977
4650.000000	13071.000000	  0.003977
4675.000000	13282.000000	  0.003977
4700.000000	13424.000000	  0.003811
4725.000000	13821.000000	  0.003977
4750.000000	13119.000000	  0.003811
4775.000000	14019.000000	  0.003811
4800.000000	13938.000000	  0.003977
4825.000000	14902.000000	  0.003811
4850.000000	14956.000000	  0.003646
4875.000000	14341.000000	  0.003977
4900.000000	15447.000000	  0.003646
4925.000000	15339.000000	  0.003977
4950.000000	15186.000000	  0.003811
4975.000000	15927.000000	  0.003811
5000.000000	16802.000000	  0.003977
5025.000000	16822.000000	  0.003977
5050.000000	17154.000000	  0.003811
5075.000000	18312.000000	  0.004143
5100.000000	19250.000000	  0.003977
5125.000000	19999.000000	  0.003977
5150.000000	21249.000000	  0.003811
5175.000000	22899.000000	  0.004143
5200.000000	24030.000000	  0.003977
5225.000000	25963.000000	  0.003977
5250.000000	26684.000000	  0.003811
5275.000000	28516.000000	  0.003977
5300.000000	29653.000000	  0.003811
5325.000000	32700.000000	  0.003977
5350.000000	35394.000000	  0.003977
5375.000000	35395.000000	  0.003977
5400.000000	37243.000000	  0.003977
5425.000000	38933.000000	  0.003811
5450.000000	42468.000000	  0.003811
5475.000000	43668.000000	  0.003977
5500.000000	43278.000000	  0.003811
5525.000000	44103.000000	  0.003977
5550.000000	43719.000000	  0.003811
5575.000000	44777.000000	  0.003811
5600.000000	43745.000000	  0.003811
5625.000000	43112.000000	  0.003977
5650.000000	43377.000000	  0.003977
5675.000000	41024.000000	  0.003811
5700.000000	40250.000000	  0.003977
5725.000000	40568.000000	  0.003811
5750.000000	39649.000000	  0.003811
5775.000000	38604.000000	  0.004143
5800.000000	39845.000000	  0.003977
5825.000000	37274.000000	  0.003811
5850.000000	38270.000000	  0.003646
5875.000000	37637.000000	  0.003811
5900.000000	37599.000000	  0.003977
5925.000000	39024.000000	  0.003811
5950.000000	39748.000000	  0.003811
5975.000000	40131.000000	  0.003977
6000.000000	40407.000000	  0.003811
6025.000000	41355.000000	  0.004143
6050.000000	44881.000000	  0.003977
6075.000000	44901.000000	  0.003977
6100.000000	46624.000000	  0.003646
6125.000000	48765.000000	  0.003977
