integer value	ROI intensity	reference intensity
500.000000	39907.000000	  0.003314
525.000000	39589.000000	  0.003314
550.000000	38615.000000	  0.003480
575.000000	38235.000000	  0.003148
600.000000	38396.000000	  0.003314
625.000000	39344.000000	  0.003480
650.000000	39181.000000	  0.003314
675.000000	38727.000000	  0.003314
700.000000	39800.000000	  0.003480
725.000000	39936.000000	  0.003314
750.000000	37567.000000	  0.003480
775.000000	39084.000000	  0.003314
800.000000	38433.000000	  0.003314
825.000000	38660.000000	  0.003314
850.000000	39028.000000	  0.003480
875.000000	39407.000000	  0.003480
900.000000	38794.000000	  0.003314
925.000000	39383.000000	  0.003314
950.000000	38918.000000	  0.003314
975.000000	40436.000000	  0.003314
1000.000000	40768.000000	  0.003314
1025.000000	40851.000000	  0.003314
1050.000000	41401.000000	  0.003480
1075.000000	40991.000000	  0.003314
1100.000000	41266.000000	  0.003314
1125.000000	42155.000000	  0.003480
1150.000000	42761.000000	  0.003314
1175.000000	43869.000000	  0.003480
1200.000000	45705.000000	  0.003480
1225.000000	44912.000000	  0.003480
1250.000000	46479.000000	  0.003480
1275.000000	47949.000000	  0.003314
1300.000000	49417.000000	  0.003480
1325.000000	50643.000000	  0.003480
1350.000000	51327.000000	  0.003480
1375.000000	53388.000000	  0.003480
1400.000000	54902.000000	  0.003314
1425.000000	57584.000000	  0.003480
1450.000000	60104.000000	  0.003480
1475.000000	61621.000000	  0.003480
1500.000000	66230.000000	  0.003314
1525.000000	66312.000000	  0.003314
1550.000000	70144.000000	  0.003314
1575.000000	72871.000000	  0.003314
1600.000000	75862.000000	  0.003480
1625.000000	77973.000000	  0.003148
1650.000000	81802.000000	  0.003148
1675.000000	83244.000000	  0.003480
1700.000000	85468.000000	  0.003314
1725.000000	86118.000000	  0.003480
1750.000000	87324.000000	  0.003480
1775.000000	86933.000000	  0.003480
1800.000000	88569.000000	  0.003314
1825.000000	87892.000000	  0.003314
1850.000000	88557.000000	  0.003314
1875.000000	87640.000000	  0.003480
1900.000000	87582.000000	  0.003480
1925.000000	87582.000000	  0.003314
1950.000000	88003.000000	  0.003314
1975.000000	85777.000000	  0.003480
2000.000000	85039.000000	  0.003480
2025.000000	84021.000000	  0.003314
2050.000000	83372.000000	  0.003314
2075.000000	80831.000000	  0.003314
2100.000000	83251.000000	  0.003148
2125.000000	81329.000000	  0.003314
2150.000000	81807.000000	  0.003314
2175.000000	79351.000000	  0.003314
2200.000000	80786.000000	  0.003148
2225.000000	78261.000000	  0.003314
2250.000000	81686.000000	  0.003314
2275.000000	81875.000000	  0.003480
2300.000000	79804.000000	  0.003480
2325.000000	78512.000000	  0.003314
2350.000000	80657.000000	  0.003314
2375.000000	84101.000000	  0.003314
2400.000000	82250.000000	  0.003314
2425.000000	83281.000000	  0.003314
2450.000000	84004.000000	  0.003314
2475.000000	86986.000000	  0.003314
2500.000000	85644.000000	  0.003314
2525.000000	87163.000000	  0.003314
2550.000000	87390.000000	  0.003314
2575.000000	88204.000000	  0.003314
2600.000000	88679.000000	  0.003480
2625.000000	88788.000000	  0.003314
2650.000000	88882.000000	  0.003314
2675.000000	88995.000000	  0.003314
2700.000000	88988.000000	  0.003480
2725.000000	88986.000000	  0.003314
2750.000000	88922.000000	  0.003314
2775.000000	88985.000000	  0.003314
2800.000000	88828.000000	  0.003314
2825.000000	88947.000000	  0.003314
2850.000000	88613.000000	  0.003314
2875.000000	88903.000000	  0.003148
2900.000000	88249.000000	  0.003480
2925.000000	87669.000000	  0.003148
2950.000000	86057.000000	  0.003480
2975.000000	84988.000000	  0.003314
3000.000000	82570.000000	  0.003480
3025.000000	82377.000000	  0.003314
3050.000000	77517.000000	  0.003314
3075.000000	74821.000000	  0.003314
3100.000000	71005.000000	  0.003314
3125.000000	71733.000000	  0.003480
3150.000000	68240.000000	  0.003314
3175.000000	66644.000000	  0.003314
3200.000000	64336.000000	  0.003314
3225.000000	63318.000000	  0.003314
3250.000000	61697.000000	  0.003480
3275.000000	59759.000000	  0.003480
3300.000000	58330.000000	  0.003314
3325.000000	56439.000000	  0.003314
3350.000000	55679.000000	  0.003314
3375.000000	53693.000000	  0.003314
3400.000000	  0.000000	  0.000000
3425.000000	  0.000000	  0.000000
3450.000000	  0.000000	  0.000000
3475.000000	  0.000000	  0.000000
3500.000000	  0.000000	  0.000000
3525.000000	  0.000000	  0.000000
3550.000000	  0.000000	  0.000000
3575.000000	  0.000000	  0.000000
3600.000000	  0.000000	  0.000000
3625.000000	  0.000000	  0.000000
3650.000000	  0.000000	  0.000000
3675.000000	  0.000000	  0.000000
3700.000000	  0.000000	  0.000000
3725.000000	  0.000000	  0.000000
3750.000000	  0.000000	  0.000000
3775.000000	  0.000000	  0.000000
3800.000000	  0.000000	  0.000000
3825.000000	  0.000000	  0.000000
3850.000000	  0.000000	  0.000000
3875.000000	  0.000000	  0.000000
3900.000000	  0.000000	  0.000000
3925.000000	  0.000000	  0.000000
3950.000000	  0.000000	  0.000000
3975.000000	  0.000000	  0.000000
4000.000000	  0.000000	  0.000000
4025.000000	  0.000000	  0.000000
4050.000000	  0.000000	  0.000000
4075.000000	  0.000000	  0.000000
4100.000000	  0.000000	  0.000000
4125.000000	  0.000000	  0.000000
4150.000000	  0.000000	  0.000000
4175.000000	  0.000000	  0.000000
4200.000000	  0.000000	  0.000000
4225.000000	  0.000000	  0.000000
4250.000000	  0.000000	  0.000000
4275.000000	  0.000000	  0.000000
4300.000000	  0.000000	  0.000000
4325.000000	  0.000000	  0.000000
4350.000000	  0.000000	  0.000000
4375.000000	  0.000000	  0.000000
4400.000000	  0.000000	  0.000000
4425.000000	  0.000000	  0.000000
4450.000000	  0.000000	  0.000000
4475.000000	  0.000000	  0.000000
4500.000000	  0.000000	  0.000000
4525.000000	  0.000000	  0.000000
4550.000000	  0.000000	  0.000000
4575.000000	  0.000000	  0.000000
4600.000000	  0.000000	  0.000000
4625.000000	  0.000000	  0.000000
4650.000000	  0.000000	  0.000000
4675.000000	  0.000000	  0.000000
4700.000000	  0.000000	  0.000000
4725.000000	  0.000000	  0.000000
4750.000000	  0.000000	  0.000000
4775.000000	  0.000000	  0.000000
4800.000000	  0.000000	  0.000000
4825.000000	  0.000000	  0.000000
4850.000000	  0.000000	  0.000000
4875.000000	  0.000000	  0.000000
4900.000000	  0.000000	  0.000000
4925.000000	  0.000000	  0.000000
4950.000000	  0.000000	  0.000000
4975.000000	  0.000000	  0.000000
5000.000000	  0.000000	  0.000000
5025.000000	  0.000000	  0.000000
5050.000000	  0.000000	  0.000000
5075.000000	  0.000000	  0.000000
5100.000000	  0.000000	  0.000000
5125.000000	  0.000000	  0.000000
5150.000000	  0.000000	  0.000000
5175.000000	  0.000000	  0.000000
5200.000000	  0.000000	  0.000000
5225.000000	  0.000000	  0.000000
5250.000000	  0.000000	  0.000000
5275.000000	  0.000000	  0.000000
5300.000000	  0.000000	  0.000000
5325.000000	  0.000000	  0.000000
5350.000000	  0.000000	  0.000000
5375.000000	  0.000000	  0.000000
5400.000000	  0.000000	  0.000000
5425.000000	  0.000000	  0.000000
5450.000000	  0.000000	  0.000000
5475.000000	  0.000000	  0.000000
5500.000000	  0.000000	  0.000000
5525.000000	  0.000000	  0.000000
5550.000000	  0.000000	  0.000000
5575.000000	  0.000000	  0.000000
5600.000000	  0.000000	  0.000000
5625.000000	  0.000000	  0.000000
5650.000000	  0.000000	  0.000000
5675.000000	  0.000000	  0.000000
5700.000000	  0.000000	  0.000000
5725.000000	  0.000000	  0.000000
5750.000000	  0.000000	  0.000000
5775.000000	  0.000000	  0.000000
5800.000000	  0.000000	  0.000000
5825.000000	  0.000000	  0.000000
5850.000000	  0.000000	  0.000000
5875.000000	  0.000000	  0.000000
5900.000000	  0.000000	  0.000000
