integer value	ROI intensity	reference intensity
  0.000000	3084.000000	  0.003646
 50.000000	3203.000000	  0.003314
100.000000	3104.000000	  0.003646
150.000000	3097.000000	  0.003646
200.000000	3166.000000	  0.003480
250.000000	3142.000000	  0.003646
300.000000	3087.000000	  0.003480
350.000000	3085.000000	  0.003811
400.000000	3100.000000	  0.003480
450.000000	3048.000000	  0.003480
500.000000	3043.000000	  0.003646
550.000000	3055.000000	  0.003646
600.000000	2905.000000	  0.003480
650.000000	3045.000000	  0.003646
700.000000	2968.000000	  0.003480
750.000000	3057.000000	  0.003646
800.000000	2958.000000	  0.003480
850.000000	2994.000000	  0.003646
900.000000	2960.000000	  0.003480
950.000000	2946.000000	  0.003480
1000.000000	2920.000000	  0.003480
1050.000000	2868.000000	  0.003480
1100.000000	2870.000000	  0.003480
1150.000000	2785.000000	  0.003480
1200.000000	2802.000000	  0.003480
1250.000000	2788.000000	  0.003646
1300.000000	2666.000000	  0.003480
1350.000000	2695.000000	  0.003480
1400.000000	2669.000000	  0.003480
1450.000000	2659.000000	  0.003314
1500.000000	2637.000000	  0.003646
1550.000000	2554.000000	  0.003480
1600.000000	2468.000000	  0.003480
1650.000000	2406.000000	  0.003646
1700.000000	2309.000000	  0.003480
1750.000000	2316.000000	  0.003480
1800.000000	2229.000000	  0.003646
1850.000000	2174.000000	  0.003646
1900.000000	2060.000000	  0.003646
1950.000000	1939.000000	  0.003480
2000.000000	1770.000000	  0.003480
2050.000000	1715.000000	  0.003480
2100.000000	1576.000000	  0.003480
2150.000000	1456.000000	  0.003646
2200.000000	1352.000000	  0.003480
2250.000000	1206.000000	  0.003646
2300.000000	1128.000000	  0.003480
2350.000000	1200.000000	  0.003646
2400.000000	1280.000000	  0.003646
2450.000000	1827.000000	  0.003480
2500.000000	2737.000000	  0.003480
2550.000000	3926.000000	  0.003480
2600.000000	6028.000000	  0.003480
2650.000000	8661.000000	  0.003480
2700.000000	13100.000000	  0.003646
2750.000000	18273.000000	  0.003646
2800.000000	24704.000000	  0.003480
2850.000000	30241.000000	  0.003480
2900.000000	35569.000000	  0.003646
2950.000000	39991.000000	  0.003646
3000.000000	43553.000000	  0.003646
3050.000000	45598.000000	  0.003480
3100.000000	46659.000000	  0.003646
3150.000000	45322.000000	  0.003480
3200.000000	42838.000000	  0.003646
3250.000000	37995.000000	  0.003811
3300.000000	33083.000000	  0.003480
3350.000000	28183.000000	  0.003646
3400.000000	24443.000000	  0.003646
3450.000000	21113.000000	  0.003480
3500.000000	17377.000000	  0.003646
3550.000000	13965.000000	  0.003646
3600.000000	11149.000000	  0.003811
3650.000000	8423.000000	  0.003646
3700.000000	6552.000000	  0.003480
3750.000000	4632.000000	  0.003646
3800.000000	3136.000000	  0.003646
3850.000000	1977.000000	  0.003646
3900.000000	1320.000000	  0.003480
3950.000000	1133.000000	  0.003811
4000.000000	1157.000000	  0.003480
4050.000000	1490.000000	  0.003646
4100.000000	1531.000000	  0.003480
4150.000000	1786.000000	  0.003811
4200.000000	2036.000000	  0.003480
4250.000000	2186.000000	  0.003646
4300.000000	2286.000000	  0.003480
4350.000000	2313.000000	  0.003811
4400.000000	2582.000000	  0.003480
4450.000000	2588.000000	  0.003480
4500.000000	2648.000000	  0.003646
4550.000000	2737.000000	  0.003646
4600.000000	2848.000000	  0.003646
4650.000000	2815.000000	  0.003480
4700.000000	2876.000000	  0.003480
4750.000000	2836.000000	  0.003480
4800.000000	2954.000000	  0.003646
4850.000000	3034.000000	  0.003480
4900.000000	2907.000000	  0.003646
4950.000000	2971.000000	  0.003646
5000.000000	3038.000000	  0.003811
5050.000000	3077.000000	  0.003811
5100.000000	3037.000000	  0.003646
5150.000000	3057.000000	  0.003480
5200.000000	3029.000000	  0.003480
5250.000000	3022.000000	  0.003646
5300.000000	3063.000000	  0.003480
5350.000000	3027.000000	  0.003646
5400.000000	3087.000000	  0.003480
5450.000000	3069.000000	  0.003480
5500.000000	3105.000000	  0.003480
5550.000000	3075.000000	  0.003646
5600.000000	3134.000000	  0.003646
5650.000000	3129.000000	  0.003314
5700.000000	3112.000000	  0.003480
5750.000000	3060.000000	  0.003314
5800.000000	3070.000000	  0.003646
5850.000000	3058.000000	  0.003480
5900.000000	3092.000000	  0.003646
5950.000000	3047.000000	  0.003480
6000.000000	2994.000000	  0.003646
6050.000000	3032.000000	  0.003480
6100.000000	3052.000000	  0.003480
6150.000000	3127.000000	  0.003480
6200.000000	2962.000000	  0.003480
6250.000000	3030.000000	  0.003480
6300.000000	3003.000000	  0.003646
6350.000000	3019.000000	  0.003480
6400.000000	3012.000000	  0.003646
6450.000000	2897.000000	  0.003646
6500.000000	2891.000000	  0.003646
6550.000000	2868.000000	  0.003480
6600.000000	2793.000000	  0.003646
6650.000000	2832.000000	  0.003480
6700.000000	2839.000000	  0.003480
6750.000000	2828.000000	  0.003480
6800.000000	2784.000000	  0.003480
6850.000000	2866.000000	  0.003646
6900.000000	2746.000000	  0.003646
6950.000000	2752.000000	  0.003646
7000.000000	2597.000000	  0.003480
7050.000000	2543.000000	  0.003480
7100.000000	2523.000000	  0.003480
7150.000000	2433.000000	  0.003480
7200.000000	2423.000000	  0.003314
7250.000000	2257.000000	  0.003811
7300.000000	2234.000000	  0.003646
7350.000000	2114.000000	  0.003646
7400.000000	2036.000000	  0.003480
7450.000000	2011.000000	  0.003811
7500.000000	1731.000000	  0.003646
7550.000000	1684.000000	  0.003646
7600.000000	1463.000000	  0.003646
7650.000000	1244.000000	  0.003480
7700.000000	1118.000000	  0.003480
7750.000000	1144.000000	  0.003646
7800.000000	1353.000000	  0.003646
7850.000000	1966.000000	  0.003480
7900.000000	3036.000000	  0.003480
7950.000000	5072.000000	  0.003480
8000.000000	7852.000000	  0.003480
8050.000000	11992.000000	  0.003646
8100.000000	16822.000000	  0.003480
8150.000000	22297.000000	  0.003646
8200.000000	28006.000000	  0.003314
8250.000000	33547.000000	  0.003480
8300.000000	38503.000000	  0.003480
8350.000000	42225.000000	  0.003480
8400.000000	43358.000000	  0.003646
8450.000000	44054.000000	  0.003646
8500.000000	41656.000000	  0.003646
8550.000000	39675.000000	  0.003646
8600.000000	35194.000000	  0.003480
8650.000000	31054.000000	  0.003646
8700.000000	26158.000000	  0.003480
8750.000000	21631.000000	  0.003480
8800.000000	17775.000000	  0.003646
8850.000000	14600.000000	  0.003646
8900.000000	11236.000000	  0.003480
8950.000000	8702.000000	  0.003480
