integer value	ROI intensity	reference intensity
  0.000000	5676.000000	  0.003480
 50.000000	6231.000000	  0.003480
100.000000	6030.000000	  0.003646
150.000000	6117.000000	  0.003480
200.000000	6214.000000	  0.003646
250.000000	6280.000000	  0.003480
300.000000	6532.000000	  0.003646
350.000000	6628.000000	  0.003646
400.000000	7080.000000	  0.003646
450.000000	7796.000000	  0.003646
500.000000	8713.000000	  0.003480
550.000000	9780.000000	  0.003480
600.000000	10508.000000	  0.003646
650.000000	12351.000000	  0.003646
700.000000	14789.000000	  0.003480
750.000000	17560.000000	  0.003480
800.000000	20939.000000	  0.003480
850.000000	25575.000000	  0.003480
900.000000	28005.000000	  0.003480
950.000000	31583.000000	  0.003480
1000.000000	32956.000000	  0.003646
1050.000000	34913.000000	  0.003480
1100.000000	33820.000000	  0.003646
1150.000000	33954.000000	  0.003480
1200.000000	30813.000000	  0.003480
1250.000000	29479.000000	  0.003314
1300.000000	27892.000000	  0.003646
1350.000000	26821.000000	  0.003314
1400.000000	25621.000000	  0.003480
1450.000000	25386.000000	  0.003480
1500.000000	25961.000000	  0.003646
1550.000000	27171.000000	  0.003646
1600.000000	29662.000000	  0.003148
1650.000000	34552.000000	  0.003480
1700.000000	39545.000000	  0.003646
1750.000000	45489.000000	  0.003480
1800.000000	48423.000000	  0.003480
1850.000000	51766.000000	  0.003480
1900.000000	56025.000000	  0.003480
1950.000000	56460.000000	  0.003480
2000.000000	56446.000000	  0.003646
2050.000000	53711.000000	  0.003480
2100.000000	50390.000000	  0.003646
2150.000000	46298.000000	  0.003480
2200.000000	44058.000000	  0.003314
2250.000000	40564.000000	  0.003148
2300.000000	38956.000000	  0.003480
2350.000000	38792.000000	  0.003646
2400.000000	38814.000000	  0.003646
2450.000000	40721.000000	  0.003314
2500.000000	44825.000000	  0.003480
2550.000000	48040.000000	  0.003811
2600.000000	53936.000000	  0.003646
2650.000000	55409.000000	  0.003646
2700.000000	59805.000000	  0.003480
2750.000000	57843.000000	  0.003480
2800.000000	58674.000000	  0.003811
2850.000000	54682.000000	  0.003480
2900.000000	52898.000000	  0.003480
2950.000000	47772.000000	  0.003314
3000.000000	44294.000000	  0.003480
3050.000000	40250.000000	  0.003480
3100.000000	39758.000000	  0.003811
3150.000000	36349.000000	  0.003646
3200.000000	37984.000000	  0.003646
3250.000000	38273.000000	  0.003646
3300.000000	42452.000000	  0.003314
3350.000000	48331.000000	  0.003480
3400.000000	54713.000000	  0.003314
3450.000000	56583.000000	  0.003646
3500.000000	61357.000000	  0.003811
3550.000000	59957.000000	  0.003314
3600.000000	61335.000000	  0.003314
3650.000000	59074.000000	  0.003314
3700.000000	55347.000000	  0.003314
3750.000000	49564.000000	  0.003480
3800.000000	47265.000000	  0.003314
3850.000000	41488.000000	  0.003646
3900.000000	40926.000000	  0.003480
3950.000000	39977.000000	  0.003646
4000.000000	41607.000000	  0.003646
4050.000000	42890.000000	  0.003811
4100.000000	46333.000000	  0.003314
4150.000000	48421.000000	  0.003646
4200.000000	55226.000000	  0.003646
4250.000000	58222.000000	  0.003314
4300.000000	59217.000000	  0.003646
4350.000000	59851.000000	  0.003646
4400.000000	57935.000000	  0.003480
4450.000000	52752.000000	  0.003646
4500.000000	48406.000000	  0.003811
4550.000000	41530.000000	  0.003646
4600.000000	37566.000000	  0.003480
4650.000000	35046.000000	  0.003480
4700.000000	32200.000000	  0.003480
4750.000000	29412.000000	  0.003646
4800.000000	28954.000000	  0.003646
4850.000000	29619.000000	  0.003314
4900.000000	32759.000000	  0.003480
4950.000000	36951.000000	  0.003480
5000.000000	38163.000000	  0.003480
5050.000000	40161.000000	  0.003811
5100.000000	39486.000000	  0.003646
5150.000000	37122.000000	  0.003314
5200.000000	33910.000000	  0.003480
5250.000000	31707.000000	  0.003646
5300.000000	26617.000000	  0.003480
5350.000000	24088.000000	  0.003480
5400.000000	19937.000000	  0.003811
5450.000000	17018.000000	  0.003646
5500.000000	14449.000000	  0.003480
5550.000000	12454.000000	  0.003811
5600.000000	11302.000000	  0.003480
5650.000000	10310.000000	  0.003811
5700.000000	8946.000000	  0.003646
5750.000000	8405.000000	  0.003646
5800.000000	7862.000000	  0.003480
5850.000000	7843.000000	  0.003646
5900.000000	7381.000000	  0.003480
5950.000000	7375.000000	  0.003811
6000.000000	7514.000000	  0.003646
6050.000000	7907.000000	  0.003646
6100.000000	7697.000000	  0.003480
6150.000000	8055.000000	  0.003480
6200.000000	8203.000000	  0.003646
6250.000000	8876.000000	  0.003811
6300.000000	9503.000000	  0.003646
6350.000000	10660.000000	  0.003646
6400.000000	11971.000000	  0.003646
6450.000000	13782.000000	  0.003480
6500.000000	16663.000000	  0.003646
6550.000000	19908.000000	  0.003646
6600.000000	24945.000000	  0.003646
6650.000000	30059.000000	  0.003480
6700.000000	35032.000000	  0.003811
6750.000000	38207.000000	  0.003646
6800.000000	39559.000000	  0.003646
6850.000000	38693.000000	  0.003646
6900.000000	37418.000000	  0.003480
6950.000000	34219.000000	  0.003314
7000.000000	32710.000000	  0.003480
7050.000000	31090.000000	  0.003646
7100.000000	30196.000000	  0.003811
7150.000000	32323.000000	  0.003480
7200.000000	34597.000000	  0.003811
7250.000000	37236.000000	  0.003646
7300.000000	43202.000000	  0.003811
7350.000000	48592.000000	  0.003646
7400.000000	55204.000000	  0.003646
7450.000000	57036.000000	  0.003646
7500.000000	62622.000000	  0.003646
7550.000000	61824.000000	  0.003480
7600.000000	60227.000000	  0.003646
7650.000000	56609.000000	  0.003314
7700.000000	54165.000000	  0.003811
7750.000000	49214.000000	  0.003480
7800.000000	48076.000000	  0.003480
7850.000000	44668.000000	  0.003646
7900.000000	46362.000000	  0.003480
7950.000000	46127.000000	  0.003480
8000.000000	49061.000000	  0.003480
8050.000000	52919.000000	  0.003646
8100.000000	59410.000000	  0.003646
8150.000000	61100.000000	  0.003646
8200.000000	65136.000000	  0.003480
8250.000000	62736.000000	  0.003646
8300.000000	61306.000000	  0.003646
8350.000000	57952.000000	  0.003646
8400.000000	54505.000000	  0.003314
8450.000000	50645.000000	  0.003646
8500.000000	46353.000000	  0.003480
8550.000000	45051.000000	  0.003480
8600.000000	43237.000000	  0.003480
8650.000000	45025.000000	  0.003646
8700.000000	48329.000000	  0.003480
8750.000000	52050.000000	  0.003314
8800.000000	56221.000000	  0.003646
8850.000000	60352.000000	  0.003646
8900.000000	64267.000000	  0.003480
8950.000000	65548.000000	  0.003646
9000.000000	64198.000000	  0.003811
9050.000000	62540.000000	  0.003811
9100.000000	58028.000000	  0.003480
9150.000000	55467.000000	  0.003646
9200.000000	51169.000000	  0.003646
9250.000000	49925.000000	  0.003480
9300.000000	47350.000000	  0.003480
9350.000000	47650.000000	  0.003480
9400.000000	50110.000000	  0.003480
9450.000000	53093.000000	  0.003480
9500.000000	56521.000000	  0.003646
9550.000000	61902.000000	  0.003646
9600.000000	61514.000000	  0.003314
9650.000000	65968.000000	  0.003811
9700.000000	60710.000000	  0.003646
9750.000000	60369.000000	  0.003646
9800.000000	52813.000000	  0.003646
9850.000000	49866.000000	  0.003314
9900.000000	44258.000000	  0.003480
9950.000000	40648.000000	  0.003646
10000.000000	37400.000000	  0.003480
10050.000000	36122.000000	  0.003646
10100.000000	35429.000000	  0.003646
10150.000000	37310.000000	  0.003646
10200.000000	38874.000000	  0.003480
10250.000000	41449.000000	  0.003480
10300.000000	41499.000000	  0.003646
10350.000000	43138.000000	  0.003811
10400.000000	39871.000000	  0.003646
10450.000000	37998.000000	  0.003480
10500.000000	33479.000000	  0.003480
10550.000000	29394.000000	  0.003314
10600.000000	25242.000000	  0.003480
10650.000000	23318.000000	  0.003314
10700.000000	19047.000000	  0.003480
10750.000000	17357.000000	  0.003646
10800.000000	14657.000000	  0.003646
10850.000000	12908.000000	  0.003646
10900.000000	11805.000000	  0.003480
10950.000000	10431.000000	  0.003480
11000.000000	9901.000000	  0.003480
11050.000000	9536.000000	  0.003646
11100.000000	9223.000000	  0.003646
