integer value	ROI intensity	reference intensity
  0.000000	42078.000000	  0.003811
 50.000000	42968.000000	  0.003480
100.000000	42862.000000	  0.003811
150.000000	45735.000000	  0.003314
200.000000	46551.000000	  0.003480
250.000000	50253.000000	  0.003646
300.000000	51037.000000	  0.003314
350.000000	54843.000000	  0.003480
400.000000	53650.000000	  0.003811
450.000000	56492.000000	  0.003480
500.000000	54860.000000	  0.003646
550.000000	53004.000000	  0.003314
600.000000	48671.000000	  0.003646
650.000000	48272.000000	  0.003811
700.000000	43280.000000	  0.003811
750.000000	40188.000000	  0.003480
800.000000	35755.000000	  0.003480
850.000000	33045.000000	  0.003314
900.000000	31448.000000	  0.003977
950.000000	30770.000000	  0.003480
1000.000000	31374.000000	  0.003646
1050.000000	33339.000000	  0.003314
1100.000000	35090.000000	  0.003480
1150.000000	37749.000000	  0.003480
1200.000000	40088.000000	  0.003480
1250.000000	41591.000000	  0.003646
1300.000000	40911.000000	  0.003811
1350.000000	39266.000000	  0.003811
1400.000000	38737.000000	  0.003314
1450.000000	33925.000000	  0.003811
1500.000000	29694.000000	  0.003646
1550.000000	25519.000000	  0.003646
1600.000000	22054.000000	  0.003811
1650.000000	19461.000000	  0.003480
1700.000000	17588.000000	  0.003480
1750.000000	16817.000000	  0.003480
1800.000000	15705.000000	  0.003480
1850.000000	15247.000000	  0.003480
1900.000000	14680.000000	  0.003314
1950.000000	14082.000000	  0.003480
2000.000000	14592.000000	  0.003811
2050.000000	14079.000000	  0.003646
2100.000000	14303.000000	  0.003480
2150.000000	13592.000000	  0.003314
2200.000000	13771.000000	  0.003977
2250.000000	13481.000000	  0.003646
2300.000000	13490.000000	  0.003646
2350.000000	13719.000000	  0.003480
2400.000000	13304.000000	  0.003480
2450.000000	13270.000000	  0.003811
2500.000000	13135.000000	  0.003314
2550.000000	13632.000000	  0.003148
2600.000000	13953.000000	  0.003314
2650.000000	13712.000000	  0.003646
2700.000000	14212.000000	  0.003646
2750.000000	14525.000000	  0.003314
2800.000000	14554.000000	  0.003480
2850.000000	15284.000000	  0.003480
2900.000000	15103.000000	  0.003314
2950.000000	15378.000000	  0.003646
3000.000000	16051.000000	  0.003646
3050.000000	17225.000000	  0.003480
3100.000000	17698.000000	  0.003480
3150.000000	18264.000000	  0.003480
3200.000000	20320.000000	  0.003480
3250.000000	22159.000000	  0.003314
3300.000000	24463.000000	  0.003646
3350.000000	29102.000000	  0.003480
3400.000000	33697.000000	  0.003480
3450.000000	36755.000000	  0.003646
3500.000000	40224.000000	  0.003646
3550.000000	42279.000000	  0.003480
3600.000000	42631.000000	  0.003480
3650.000000	41177.000000	  0.003480
3700.000000	39642.000000	  0.003646
3750.000000	36017.000000	  0.003646
3800.000000	33516.000000	  0.003811
3850.000000	32634.000000	  0.003646
3900.000000	32240.000000	  0.003480
3950.000000	34698.000000	  0.003480
4000.000000	36033.000000	  0.003480
4050.000000	39891.000000	  0.003480
4100.000000	45058.000000	  0.003480
4150.000000	47668.000000	  0.003314
4200.000000	50775.000000	  0.003480
4250.000000	53390.000000	  0.003811
4300.000000	54665.000000	  0.003480
4350.000000	53808.000000	  0.003811
4400.000000	54513.000000	  0.003480
4450.000000	50632.000000	  0.003480
4500.000000	47291.000000	  0.003646
4550.000000	44286.000000	  0.003480
4600.000000	45498.000000	  0.003977
4650.000000	43032.000000	  0.003646
